Year,President,Party
2001,George W.Bush,Republican
2002,George W.Bush,Republican
2003,George W.Bush,Republican
2004,George W.Bush,Republican
2005,George W.Bush,Republican
2006,George W.Bush,Republican
2007,George W.Bush,Republican
2008,George W.Bush,Republican
2009,George W.Bush,Republican
2010,Barack Obama,Democrats
2011,Barack Obama,Democrats
2012,Barack Obama,Democrats
2013,Barack Obama,Democrats
2014,Barack Obama,Democrats
2015,Barack Obama,Democrats
2016,Barack Obama,Democrats
2017,Barack Obama,Democrats
2018,Donald J.Trump,Republican
2019,Donald J.Trump,Republican
2020,Donald J.Trump,Republican
2021,Donald J.Trump,Republican
